2023-12-11 01:40:12.2561|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 3300550 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-11 01:40:12.2561|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 3300553 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-11 01:40:12.2597|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 3300554 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-11 01:40:12.2597|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 3300523 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-11 01:40:12.8890|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor|Не найдено пересечений с дорогами АБДД. DorCode: 6440, Km: 20, M: 822 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmDataProcessor.InitializeStatementAsync| body: 
2023-12-11 01:41:39.3158|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 3300716 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-11 01:41:44.3078|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 3300693 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-11 01:41:54.8138|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 3300877 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-11 01:46:30.2327|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 3301070 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-11 01:46:30.2327|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 3301074 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-11 01:46:30.2327|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 3301084 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-11 01:54:44.9041|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 3301094 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-11 01:54:44.9041|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 3301159 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-11 02:12:00.8572|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 3301176 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-11 02:15:57.2290|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 3301286 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
2023-12-11 02:15:57.2317|0|ERROR|Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport|Отсутствуют необходимые поля в ведомости. Код ИССО: 3301289 |url: |action: |Roads.Application.Services.IntegratedData.Abdm.AbdmPipesObjDetailImport.CreateStatementFromApi| body: 
